id,book,source_file,source_chapter,wisdom_title,wisdom_text,theme_tags
LAYL011,《李敖语录》,004.自我炼钢.txt,自我炼钢：愉快之道,快乐要建在自恃上,长久的快乐不能主要靠别人给，因为别人的认可、亲近和照顾都不稳定。把快乐建筑在自恃上，意思是自己有能力、有工作、有判断、有安放自己的办法；能自立的人，才不至于一失去外援就失去心情。,人生智慧;快乐;自立;自恃
LAYL012,《李敖语录》,004.自我炼钢.txt,自我炼钢：小段时间的把握,五分钟也有方向,大段时间不浪费还不够，小段时间也会在不知不觉中吞掉人生。每天十分钟、一小时看似零碎，累积起来足以完成一本书、掌握一门学问；真正爱惜生命的人，会让每个小时间块也服从价值判断。,人生智慧;时间;专注;积累
LAYL013,《李敖语录》,004.自我炼钢.txt,自我炼钢：比例的眼光,比例眼光让人脱俗,人要脱离庸常环境的传染，需要一种比例眼光：看见大人物与俗人的差距，也看见自己身上哪些俗染必须一点一滴驱除。大处有志，小处有计划，才不会只羡慕高远，却在日常动作里继续平庸。,人生智慧;眼光;自我训练;格局
LAYL014,《李敖语录》,004.自我炼钢.txt,自我炼钢：失言的危险,慢一点说，少一点悔,话说得太快，常常不是聪明，而是给失言开门。重要的话宁可慢一点，先想清楚再出口；语言一旦离开自己，就会变成事实的一部分。能管住反应速度的人，往往也能管住很多无谓后果。,人生智慧;表达;谨慎;分寸
LAYL015,《李敖语录》,005.立言家的真面目.txt,立言家的真面目：是非挂帅,是非挂帅才保住自我,一个人若把交情、感情、利害、荣辱和人言都放在是非前面，久而久之就只剩顺滑，没有自己。是非挂帅会让人难相处，也会带来孤立，但它能保住人格的硬度；真正的自我，常在必要时敢不顾其他标准。,人生智慧;是非;人格;独立
LAYL016,《李敖语录》,005.立言家的真面目.txt,立言家的真面目：选择做两种人,选择同时也是拒绝,选择不是把所有可能都保留，而是决定做一种人，同时砍掉对其他生活的沾恋。生命没有那么长，胃口也没有那么大；智慧让你看出该选什么，意志则让你不再回头幻想那些被放弃的选项。,人生智慧;选择;意志;取舍
LAYL017,《李敖语录》,005.立言家的真面目.txt,立言家的真面目：做一个讲是非的表率,讲是非要先强大,想长期讲是非、不讲利害和感情，不能只靠一腔正气，还要让自己强大到不必处处倚靠别人，并有力量传播判断。弱而无备的正直容易被现实吞掉；有独立生计、表达能力和无畏气概，是讲是非的底座。,人生智慧;是非;强大;独立
LAYL018,《李敖语录》,005.立言家的真面目.txt,立言家的真面目：智慧者的快乐,智慧不该和不快乐捆绑,把痛苦当成清醒的代价，是一种不成熟的自我神话。智慧当然会看见更多问题，但真正的智慧也应带来排遣、安顿和快乐的能力；若越懂越只能苦，问题可能不在智慧太多，而在智慧还不够完整。,人生智慧;智慧;快乐;成熟
LAYL019,《李敖语录》,006.我思我在.txt,我思我在：重新决定下半生,人到中途要重新结账,人生走到中途，应当把前半生的成败、浪费、误交、误入和真正收获冷静结账，再决定后半生怎么过。继续按旧惯性滑下去最省力，也最危险；成熟的人会把剩下的时间重新分配给更值得生产的生命成果。,人生智慧;中年;复盘;规划
LAYL020,《李敖语录》,006.我思我在.txt,我思我在：独立思考,独立思考要付出隔离成本,独立思考不是口号，它常常需要减少来往、增加孤独、给问题足够长的沉潜时间。与人保持距离会失去一些热闹，却也换来不被群声牵着走的机会；真正属于自己的看法，通常要用安静换来。,人生智慧;独立思考;孤独;判断
LAYL021,《李敖语录》,006.我思我在.txt,我思我在：为文之道,情绪可以火爆，资料必须扎实,表达可以有情绪、锋芒甚至火气，但底层必须有冷静思考和扎实资料。若过滤掉刺激字句以后什么都不剩，那只是发泄；若剩下的是证据、结构和判断，火爆也能成为有效表达的一部分。,人生智慧;写作;资料;表达
LAYL022,《李敖语录》,006.我思我在.txt,我思我在：情与理,情理要分开安放,行文论事时，应当理来情无存；私人往来时，即使政敌也未必不能把酒言欢。很多混乱来自情理不分：因情断送理，或因讲理就把人情全毁。成熟的办法，是让理在公论中清楚，让情在边界内安放。,人生智慧;情理;公私;判断
LAYL023,《李敖语录》,006.我思我在.txt,我思我在：常与变,把常态握牢，把变故拖过,人生要分清常与变：健康、工作、长期方向是常，病痛、疲倦、干扰和一时兴头是变。变故来时，不要用短期情绪否定长期信念；能把小变拖过去，把常态守住，很多动摇自然会失效。,人生智慧;常态;变故;稳定
LAYL024,《李敖语录》,011.人生拾零.txt,人生拾零：不为力所不及的事伤脑筋,别为力所不及乱心,难题当前，先认清哪些真由自己负责，哪些只是徒乱人意。思考要有分舱能力：该想时想，不该想时停。没有训练的人把所有问题搅成一团，最后不但解决不了外事，还先搅垮自己的情绪。,人生智慧;难题;情绪;边界
LAYL025,《李敖语录》,011.人生拾零.txt,人生拾零：有实力不怕孤立,孤立要有小台面,孤立本身不可怕，可怕的是没有实力的孤立。强韧、健康、财富和可持续的工作能力，都是一个人最后的小台面；只要小台面还在，就有翻本可能。想保独立，不能只讲姿态，也要积聚实力。,人生智慧;孤立;实力;自保
LAYL026,《李敖语录》,011.人生拾零.txt,人生拾零：第一流人的境界,第一流会砍掉无关小事,人生短得不够扯小事，第一流的人必须很快分辨哪些是无关事项，并立刻砍掉。忍辱、含冤、受谤并非麻木，而是志趣更远、所挟持者更大；不被小事缠住，才有余力做大事。,人生智慧;格局;小事;成事
LAYL027,《李敖语录》,011.人生拾零.txt,人生拾零：不快乐的因素,情绪问题也有争取余地,有些不快乐无法完全控制，但人仍能在反应方式上讨价还价。冷静、智慧和技术细节，能让同一遭遇少伤一点人；把不可控当成放任情绪横冲直撞的理由，只会让处境更糟。,人生智慧;情绪;智慧;调适
LAYL028,《李敖语录》,011.人生拾零.txt,人生拾零：意志力,意志力是升等考试,意志力不是空喊坚强，而是在苦其心志时仍能维护起码信仰和行动。磨得过的人更坚强，磨不过的人更狼狈；人生总有硬碰硬的时候，那时才看得出一个人的牺牲精神和决绝能力。,人生智慧;意志;磨练;信念
LAYL029,《李敖语录》,011.人生拾零.txt,人生拾零：中国式好人,好人标准不能只看合礼,社会常用合不合道统、愚忠、孝道和名分来检定好人，结果可能选出伪君子和乡愿，排挤真正有骨气的人。判断好人不能只看他是否顺从旧标准，更要看他是否守住人格、真理和关键处的担当。,人生智慧;好人;标准;人格
LAYL030,《李敖语录》,011.人生拾零.txt,人生拾零：娱乐非小道,娱乐不是人格污点,把娱乐、轻快和自然快意都看成小人之道，会把人逼成枯燥而分裂的木头。许多快乐本来与道德无关，却被教条制造罪恶感；健康的人生要能放弃有毒思想，承认娱乐也是活泼生活的一部分。,人生智慧;娱乐;道德;生活
LAYL031,《李敖语录》,014.谈西说东.txt,谈西说东：施恩要适度,施恩要防养出依赖,帮助别人不是越多越好，还要看会不会制造不健康的期待和依赖。一碗饭可能养出感激，一斗米若处理不好反而养出怨恨。善意要有分寸，既救急，也不把对方训练成永远索取的人。,人生智慧;施恩;分寸;人性
LAYL032,《李敖语录》,014.谈西说东.txt,谈西说东：判定伟大的标准,伟大看力量和承担的比例,判断一个人不能只看结果大小，也要看他拥有多少力量、承担多少事情。有十分力量只做九分，是失职；一分力量却做两分，反而可贵。公平的评价，要把能力基数和实际承担一起算进去。,人生智慧;评价;承担;标准
LAYL033,《李敖语录》,014.谈西说东.txt,谈西说东：材料不对,材料不对时别硬磨,努力不是万能的，方向和材料也要先对。铁杵能磨成针，木杵却只能磨成牙签；一个人若把不适合的材料、不适合的位置、不适合的方法硬磨到底，勤奋会变成消耗。成熟要敢承认限制。,人生智慧;方法;限制;选择
LAYL034,《李敖语录》,014.谈西说东.txt,谈西说东：什么最重要,重要之事常先像傻事,许多后来改变世界的事，开头都被看成不重要、没前途、像玩具。若只做当下公认重要的事，就会错过新价值萌芽的地方。判断工作价值，不能只看眼前掌声，也要给“不重要的傻事”保留空间。,人生智慧;价值;创新;远见
LAYL035,《李敖语录》,017.批评中国知识分子.txt,批评中国知识分子：拿笔杆人的责任,拿笔杆要想到长远后果,发表言论的人不能只看一时痛快，因为文字的影响常常长远、潜在、不可追回。写作者要相信一言可能兴事，也可能误人；越有传播力，越要在落笔前想清楚事实、方向和后果。,人生智慧;写作;责任;影响
LAYL036,《李敖语录》,017.批评中国知识分子.txt,批评中国知识分子：让青年们尽量奔跑,青年要有奔跑空间,教育青年若只求听话、老成、稳妥，会把朝气训练成乡愿。年轻人需要冲、骂、摔跤和犯一点不知天高地厚的错；社会要有更新力量，就不能只培养不出声、不出格、不出错的人。,人生智慧;青年;教育;朝气
LAYL037,《李敖语录》,019.历史探索.txt,历史探索：历史只讲求真相,历史只求真相,历史不该讲感情，讲感情便不是真历史。坏事可以一时被权力遮掩、查禁或烧毁记录，但求真的人会不断用各种办法把真相留下。人生中的记录与回忆也应如此：少护短，多求真。,人生智慧;历史;真相;记录
LAYL038,《李敖语录》,019.历史探索.txt,历史探索：审慎判忠奸,审慎判断忠奸,忠奸、善恶、好坏常常没有戏台脸谱那样清楚。阅历越多，越该警惕二分法带来的方便和粗糙；很多人盗得好名，也有人横被恶名。判断人事，要多检证、少图省事。,人生智慧;判断;历史;审慎
LAYL039,《李敖语录》,022.什么是民主政治.txt,什么是民主政治：认同舆论,舆论不是权力的学生,为政者的职业是力行，舆论的职业是多言；权力不该高高在上指导舆论，而应从舆论检讨中修正自己。放到个人生活里也是一样，做事者不能只要掌声，还要听得进外部反馈。,人生智慧;舆论;权力;反馈
LAYL040,《李敖语录》,022.什么是民主政治.txt,什么是民主政治：政治是一种专业,公共判断需要专业训练,政治和公共事务不是只有热情就能处理，它们也是复杂专业。贸然喊口号、表态、行动，可能像盲人骑瞎马。人生中任何复杂领域都一样：先承认专业难度，再谈立场和热情。,人生智慧;专业;政治;判断
